word_name	stack_effect	description
AGAIN	( a -- )	Terminate a BEGIN-AGAIN infinite loop structure. [immediate]
IF	( -- A )	Begin a conditional branch structure. [immediate]
AHEAD	( -- A )	Compile a forward branch instruction. [immediate]
REPEAT	( A a -- )	Terminate a BEGIN-WHILE-REPEAT indefinite loop. [immediate]
THEN	( A -- )	Terminate a conditional branch structure. [immediate]
AFT	( a -- a A )	Jump to THEN in a FOR-AFT-THEN-NEXT loop the first time through. [immediate]
ELSE	( A -- A )	Start the false clause in an IF-ELSE-THEN structure. [immediate]
WHILE	( a -- A a )	Conditional branch out of a BEGIN-WHILE-REPEAT loop. [immediate]
ABORT"	(-- ; <string>)	Conditional abort with an error message. [immediate]
abort"	( f -- )	Run time routine of ABORT" . Abort with a message. [compile-only]
$"	(-- ; <string>)	Compile an inline string literal. [immediate]
."	(-- ; <string>)	Compile an inline string literal to be typed out at run time. [immediate]
F"	(-- ; <string>)	Compile an inline formatted string literal. [immediate]
?UNIQUE	(a -- a)	Display a warning message if the word already exists.
HEADER	(na --)	Build a conventional inline dictionary header using the string at na. [compile-only]
PRIM?	(a -- opcode operands t | a f)	[compile-only]
CODE-ARG	(-- x ; <string>)	[compile-only]
$COMPILE	(a --)	Compile next word to code dictionary as a token or literal. [compile-only]
$CODE	(a --)	Compile next word to code dictionary as a primitive opcode. [compile-only]
REVEAL	(--)	Reveal the last built word by linking it into the current vocabulary. [compile-only]
;	(--)	Terminate a colon definition. [compile-only, immediate]
:	(-- ; <string>)	Start a new colon definition using next word as its name.
]CODE	(--)	Switch the compiler to CODE mode. [compile-only]
CODE	(-- ; <string>)	Start a new CODE definition using next word as its name.
END-CODE	(--)	Terminate a CODE definition. [compile-only, immediate]
IMMEDIATE	(--)	Make the last compiled word an immediate word. [immediate]
COMPILE-ONLY	(--)	
USER	(n -- ; <string>)	Compile a new user variable.
CREATE	(-- ; <string>)	Compile a new array entry without allocating code space.
VARIABLE	(-- ; <string>)	Compile a new variable initialized to 0.
_TYPE	(b u --)	Display a string. Filter non-printing characters.
dm+	(b u -- b)	Dump u bytes from , leaving a+u on the stack.
DUMP	(b u --)	Dump u bytes from a, in a formatted manner.
.S	(--)	Display the contents of the data stack.
.BASE	(--)	
.FREE	(--)	
!CSP	(--)	Save stack pointer in CSP for error checking.
?CSP	(--)	Abort if stack pointer differs from that saved in CSP.
>NAME	(xt -- na | F)	Convert code address to a name address.
.ID	(a --)	Display the name at address.
SEE	(-- ; <string>)	A simple decompiler.
WORDS	(--)	Display the names in the context vocabulary.
VER	(-- u)	Return the version number of this implementation.
hi	(--)	Display the sign-on message of eForth.
EMPTY	(--)	
MOVE		
COLD	(--)	
